record,COUNTRY,REGION,SECTOR,INDUSTRY,CAP1,CAP2,CAP3,CAP4,CAP5,CAP6,CAP7,CAP8,CAP9
1411,United States,NAMR,Insurance,Insurance,50,33,33,66,17,33,50,33,33
3665,United States,NAMR,Payments & Fintech,Financial Institutions,66,66,33,66,66,66,8,83,100
2359,United States,NAMR,Insurance,Insurance,66,8,8,8,33,50,8,50,83
5420,South Africa,EMESA,Metals & Mining,Industrial Goods,66,33,66,66,66,0,0,0,0
4915,Belgium,EMESA,Insurance,Insurance,100,66,66,83,66,66,100,50,66
33,Belgium,EMESA,Medtech,Healthcare,66,66,0,50,17,17,0,33,17
451,United States,NAMR,Medtech,Healthcare,33,33,50,17,33,33,17,50,17
3963,Hong Kong,APAC,Insurance,Insurance,100,66,66,100,66,66,66,100,100
521,United States,NAMR,Insurance,Insurance,66,33,66,66,33,66,33,33,33
3532,India,APAC,Airline,TCI,0,66,17,50,17,0,50,33,66
1334,France,EMESA,Chemicals,Industrial Goods,66,17,66,66,50,66,66,66,66
3973,Canada,NAMR,Airline,TCI,66,50,33,100,33,17,50,33,17
4668,United States,NAMR,Chemicals,Industrial Goods,66,66,33,66,0,0,33,33,66
2029,United States,NAMR,Rail & Hospitality,TCI,66,100,66,66,66,100,66,66,66
4613,Netherlands,EMESA,Aerospace & Defense,Industrial Goods,66,33,33,83,17,33,17,33,17
117,India,APAC,Telecommunications,TMT,66,66,33,66,33,33,33,66,100
4118,Norway,EMESA,Oil & Gas,Energy,83,83,100,83,83,83,83,50,83
905,United Kingdom,EMESA,Oil & Gas,Energy,50,17,83,17,50,17,0,66,17
395,Netherlands,EMESA,Chemicals,Industrial Goods,66,66,66,33,33,66,0,17,50
5322,United States,NAMR,Chemicals,Industrial Goods,17,33,0,17,0,17,0,17,17
2745,United States,NAMR,Retail,Consumer,33,33,33,33,0,17,33,0,0
2530,United States,NAMR,Metals & Mining,Industrial Goods,17,33,17,33,33,0,33,33,17
924,Switzerland,EMESA,Medtech,Healthcare,50,50,83,50,33,50,33,66,33
3811,United Arab Emirates,EMESA,"Construction, Cities and Infrastructure Development",TCI,100,66,83,66,66,100,100,66,66
2956,United States,NAMR,Retail,Consumer,66,50,50,33,33,50,33,33,50
1337,United States,NAMR,Medtech,Healthcare,66,100,100,66,66,66,100,100,100
387,India,APAC,Biopharma,Healthcare,50,0,33,33,33,33,33,33,0
3766,Bahrain,EMESA,Global Asset Managers,Financial Institutions,66,33,50,66,50,66,50,50,50
4228,Germany,EMESA,Insurance,Insurance,33,33,0,66,33,0,33,33,33
3270,United States,NAMR,Insurance,Insurance,50,33,50,66,50,33,50,50,33
3476,United States,NAMR,Insurance,Insurance,66,33,66,66,66,33,33,66,33
2246,United States,NAMR,Biopharma,Healthcare,33,33,33,33,33,33,0,33,33
503,United States,NAMR,Software,TMT,33,33,0,33,33,50,0,33,33
208,Spain,EMESA,Software,TMT,66,66,100,83,66,50,83,83,100
4539,United States,NAMR,Retail,Consumer,50,50,66,83,66,66,83,50,66
3918,United States,NAMR,"Devices, Components, and Semiconductors",TMT,66,66,17,33,50,50,33,66,33
1611,United States,NAMR,Media,TMT,66,17,17,50,17,17,0,33,17
409,Mexico,NAMR,Telecommunications,TMT,100,33,33,66,66,33,33,33,0
835,United States,NAMR,Payments & Fintech,Financial Institutions,66,66,50,66,50,50,66,66,66
719,United States,NAMR,Global Asset Managers,Financial Institutions,50,66,66,66,33,66,33,50,66
1917,United States,NAMR,Biopharma,Healthcare,83,83,66,83,83,83,83,66,50
3535,United States,NAMR,"Devices, Components, and Semiconductors",TMT,33,50,33,50,33,33,33,33,17
5081,Canada,NAMR,Banking,Financial Institutions,33,50,33,66,33,33,66,33,33
150,Spain,EMESA,Retail,Consumer,66,50,66,33,33,50,66,50,17
1463,United States,NAMR,Rail & Hospitality,TCI,17,33,17,33,17,17,33,17,33
4661,France,EMESA,Global Asset Managers,Financial Institutions,33,33,66,33,66,33,33,83,33
4761,Turkey,EMESA,Insurance,Insurance,33,33,33,33,50,66,33,66,33
3276,United States,NAMR,"Devices, Components, and Semiconductors",TMT,66,33,33,50,50,33,17,33,33
4919,United States,NAMR,Aerospace & Defense,Industrial Goods,66,66,83,83,66,83,83,83,83
4608,United Kingdom,EMESA,Metals & Mining,Industrial Goods,33,33,33,33,33,33,66,66,0
1311,Belgium,EMESA,Consumer Products,Consumer,17,33,66,66,83,66,50,83,33
1016,Germany,EMESA,Insurance,Insurance,50,66,33,33,33,33,66,33,83
378,United Kingdom,EMESA,Payments & Fintech,Financial Institutions,66,0,33,33,33,66,8,66,33
5000,Australia,APAC,Oil & Gas,Energy,33,17,0,33,17,17,17,33,17
3116,Netherlands,EMESA,Global Asset Managers,Financial Institutions,33,0,0,33,17,0,0,50,0
2169,United States,NAMR,Global Asset Managers,Financial Institutions,83,66,66,83,50,66,50,50,50
5213,Ireland,EMESA,Automotive & Mobility,Industrial Goods,50,50,66,66,50,50,50,66,33
258,United States,NAMR,Retail,Consumer,83,50,83,66,33,50,66,50,50
5288,Netherlands,EMESA,Aerospace & Defense,Industrial Goods,33,66,50,33,50,66,66,33,33
3062,Luxembourg,EMESA,Metals & Mining,Industrial Goods,33,33,50,33,17,17,50,33,33
5376,Luxembourg,EMESA,Metals & Mining,Industrial Goods,66,66,33,66,66,33,33,33,33
1671,Bermuda,NAMR,Insurance,Insurance,66,66,33,66,33,33,33,66,33
3265,United States,NAMR,Machinery & Automation incl. Greentech,Industrial Goods,66,66,66,66,66,66,66,83,66
576,Uruguay,EMESA,Retail,Consumer,66,17,0,33,0,0,33,33,0
635,France,EMESA,Global Asset Managers,Financial Institutions,66,83,0,50,83,50,8,83,66
5357,Sweden,EMESA,Medtech,Healthcare,83,66,66,50,66,66,33,66,50
4222,France,EMESA,Chemicals,Industrial Goods,66,66,66,66,100,66,66,66,66
3070,Jordan,EMESA,"Devices, Components, and Semiconductors",TMT,66,83,83,66,66,50,83,83,66
5808,Luxembourg,EMESA,Real Estate,TCI,17,0,17,33,0,0,0,0,0
2072,United States,NAMR,"Devices, Components, and Semiconductors",TMT,66,33,33,66,0,33,0,33,0
1290,France,EMESA,"Construction, Cities and Infrastructure Development",TCI,50,0,33,0,33,33,0,33,100
286,United States,NAMR,Insurance,Insurance,83,66,66,33,50,66,50,50,66
432,United Kingdom,EMESA,"Construction, Cities and Infrastructure Development",TCI,0,66,66,33,33,33,33,66,33
5300,Japan,APAC,Chemicals,Industrial Goods,66,66,33,33,33,33,33,33,33
2563,United States,NAMR,"Providers, Systems & Services",Healthcare,33,50,33,17,0,17,17,17,17
4536,United Kingdom,EMESA,Retail,Consumer,50,0,33,66,0,0,0,0,0
18,India,APAC,Automotive & Mobility,Industrial Goods,17,17,17,17,17,17,17,0,0
131,India,APAC,Chemicals,Industrial Goods,50,33,50,50,50,17,17,33,0
2402,India,APAC,Fashion & Luxury,Consumer,66,66,33,66,100,66,0,66,33
2310,Netherlands,EMESA,"Devices, Components, and Semiconductors",TMT,33,66,50,17,33,33,33,17,66
1315,Poland,EMESA,Payments & Fintech,Financial Institutions,50,33,17,17,33,17,33,17,100
1943,Japan,APAC,Biopharma,Healthcare,66,33,33,33,33,33,66,33,66
159,United Kingdom,EMESA,Automotive & Mobility,Industrial Goods,100,17,0,100,33,33,8,33,33
1025,United Kingdom,EMESA,Biopharma,Healthcare,50,33,66,50,33,50,50,66,83
1958,United States,NAMR,Telecommunications,TMT,83,66,100,83,33,100,66,100,100
2219,Australia,APAC,Software,TMT,83,83,83,83,83,66,83,83,50
227,United Kingdom,EMESA,Software,TMT,100,83,100,100,66,66,100,100,83
1145,France,EMESA,Retail,Consumer,33,50,66,33,50,50,83,66,33
5314,Germany,EMESA,Automotive & Mobility,Industrial Goods,0,17,33,33,17,0,8,33,8
1151,Austria,EMESA,Airline,TCI,66,50,50,33,33,66,33,83,83
1481,United States,NAMR,"Construction, Cities and Infrastructure Development",TCI,50,33,50,66,50,66,33,66,66
3142,Norway,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,66,33,33,50,50,50,33,66,33
680,United States,NAMR,Power and Utilities,Energy,33,33,17,33,0,17,33,33,33
413,United States,NAMR,Chemicals,Industrial Goods,17,33,17,17,0,0,17,50,33
3278,Colombia,EMESA,Airline,TCI,33,33,50,66,17,50,33,33,33
2361,United States,NAMR,Airline,TCI,66,83,33,66,33,33,33,66,83
209,United Kingdom,EMESA,Insurance,Insurance,0,33,33,33,66,33,33,33,33
3432,United States,NAMR,"Devices, Components, and Semiconductors",TMT,66,33,50,66,50,50,8,66,50
163,France,EMESA,Insurance,Insurance,83,66,66,50,66,66,66,83,83
4177,Malaysia,APAC,Telecommunications,TMT,66,66,33,83,83,66,66,100,33
2,India,APAC,Banking,Financial Institutions,66,66,83,66,50,66,50,50,50
29,India,APAC,Insurance,Insurance,66,33,100,66,33,66,66,66,66
356,Brazil,NAMR,Airline,TCI,0,0,33,33,0,0,0,33,0
3423,United Kingdom,EMESA,Aerospace & Defense,Industrial Goods,66,33,33,50,17,66,17,66,33
3641,United Kingdom,EMESA,Aerospace & Defense,Industrial Goods,50,17,50,66,0,17,33,66,33
2175,Bermuda,NAMR,Consumer Products,Consumer,33,33,0,33,0,0,33,33,33
5318,United Kingdom,EMESA,Aerospace & Defense,Industrial Goods,66,66,66,33,66,66,33,66,66
4545,India,APAC,Insurance,Insurance,100,33,0,100,33,33,66,66,0
4759,India,APAC,Insurance,Insurance,66,66,66,66,33,66,66,66,66
796,India,APAC,Automotive & Mobility,Industrial Goods,66,33,33,100,100,33,33,33,33
2464,India,APAC,Payments & Fintech,Financial Institutions,33,50,50,66,66,50,66,33,33
13,Canada,NAMR,Machinery & Automation incl. Greentech,Industrial Goods,50,33,17,50,17,33,17,33,0
5668,Switzerland,EMESA,Insurance,Insurance,8,8,33,50,50,50,66,50,50
1775,Spain,EMESA,Banking,Financial Institutions,83,50,50,66,33,66,33,17,83
385,India,APAC,Banking,Financial Institutions,33,66,66,66,8,66,0,66,66
1526,United States,NAMR,Banking,Financial Institutions,50,83,33,50,66,17,66,33,83
942,India,APAC,Banking,Financial Institutions,66,17,33,17,17,17,33,33,0
1316,United States,NAMR,"Providers, Systems & Services",Healthcare,83,33,33,83,17,33,66,66,66
132,Tunisia,EMESA,Banking,Financial Institutions,33,8,33,33,33,33,33,33,50
P477,United Kingdom,EMESA,Public Sector,Public Sector,66,33,33,83,17,50,83,100,50
3244,United States,NAMR,Medtech,Healthcare,66,83,50,66,66,100,50,66,66
186,United States,NAMR,Medtech,Healthcare,17,50,17,33,33,17,50,50,50
410,Germany,EMESA,Biopharma,Healthcare,50,33,33,33,33,33,50,33,33
3214,United States,NAMR,"Providers, Systems & Services",Healthcare,66,66,50,66,33,33,33,50,50
262,United Kingdom,EMESA,Media,TMT,66,33,33,66,66,33,33,33,66
2093,Spain,EMESA,Banking,Financial Institutions,83,83,66,33,50,17,66,100,8
1014,United States,NAMR,Medtech,Healthcare,66,33,33,66,33,50,33,17,17
4232,United States,NAMR,Global Asset Managers,Financial Institutions,66,66,66,66,50,66,66,66,66
2668,United States,NAMR,Power and Utilities,Energy,50,66,66,66,83,66,66,50,33
421,Germany,EMESA,Consumer Products,Consumer,66,66,50,50,50,50,50,50,50
5799,China,APAC,Payments & Fintech,Financial Institutions,66,66,66,66,66,66,66,66,66
2276,France,EMESA,Consumer Products,Consumer,66,66,66,66,17,33,0,33,17
1521,United Kingdom,EMESA,Automotive & Mobility,Industrial Goods,100,33,33,33,66,66,66,66,33
1669,United States,NAMR,Insurance,Insurance,33,50,33,50,17,33,66,66,50
1905,India,APAC,Aerospace & Defense,Industrial Goods,0,0,0,66,0,0,0,66,33
735,Australia,APAC,Metals & Mining,Industrial Goods,83,66,33,33,33,50,50,66,100
1231,France,EMESA,Consumer Products,Consumer,33,33,33,66,0,33,0,33,33
5359,Germany,EMESA,Oil & Gas,Energy,66,33,33,66,33,33,33,33,33
P114,United States,NAMR,Public Sector,Public Sector,50,66,50,66,50,33,33,50,66
420,United States,NAMR,Payments & Fintech,Financial Institutions,33,33,33,50,0,66,66,33,17
254,United States,NAMR,Biopharma,Healthcare,33,66,33,66,50,66,33,50,33
213,United States,NAMR,Biopharma,Healthcare,66,33,33,100,33,66,33,33,66
246,Germany,EMESA,Biopharma,Healthcare,0,33,66,33,50,33,33,33,33
2824,United States,NAMR,Medtech,Healthcare,50,50,50,66,50,50,33,50,33
5897,United States,NAMR,Global Asset Managers,Financial Institutions,33,33,33,50,33,17,50,17,0
4019,United States,NAMR,Machinery & Automation incl. Greentech,Industrial Goods,33,33,0,33,33,33,33,33,0
1722,United States,NAMR,Media,TMT,50,50,33,33,50,66,50,50,33
3479,United States,NAMR,Insurance,Insurance,50,17,33,17,50,50,33,50,83
2303,India,APAC,Logistics & Postal Services,TCI,33,66,33,17,50,33,66,66,66
2090,United States,NAMR,"Providers, Systems & Services",Healthcare,50,83,50,66,33,33,50,66,66
478,United States,NAMR,Biopharma,Healthcare,17,0,0,0,17,0,0,33,0
4469,Australia,APAC,Metals & Mining,Industrial Goods,66,66,33,66,33,66,66,33,66
172,Canada,NAMR,Banking,Financial Institutions,66,66,83,50,66,66,50,66,83
3198,Germany,EMESA,Automotive & Mobility,Industrial Goods,66,33,66,66,66,66,83,83,66
1374,France,EMESA,Banking,Financial Institutions,83,50,66,33,66,50,50,66,66
917,United States,NAMR,Banking,Financial Institutions,66,66,66,66,83,66,66,66,66
4656,Hong Kong,APAC,Banking,Financial Institutions,33,0,33,17,0,0,0,33,0
1918,United Kingdom,EMESA,Fashion & Luxury,Consumer,66,66,33,50,50,66,50,66,0
2496,United States,NAMR,Rail & Hospitality,TCI,100,100,66,66,66,83,66,100,66
3424,Germany,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,66,50,33,66,66,50,33,33,50
403,Germany,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,50,66,50,66,83,83,50,66,83
1282,France,EMESA,"Construction, Cities and Infrastructure Development",TCI,33,83,50,50,33,17,8,66,50
822,United Kingdom,EMESA,Oil & Gas,Energy,50,66,100,66,33,66,83,66,17
3825,Belgium,EMESA,Logistics & Postal Services,TCI,66,66,50,100,17,33,0,66,66
1362,Brazil,NAMR,Chemicals,Industrial Goods,66,83,66,50,33,50,66,50,66
1721,Italy,EMESA,Automotive & Mobility,Industrial Goods,66,66,33,50,50,33,17,33,66
720,Japan,APAC,Automotive & Mobility,Industrial Goods,66,33,66,66,66,0,66,66,33
2742,United States,NAMR,Biopharma,Healthcare,17,17,17,0,0,17,17,33,17
2730,United Kingdom,EMESA,Airline,TCI,66,66,8,66,83,66,33,83,66
369,United Kingdom,EMESA,Oil & Gas,Energy,33,33,33,50,33,17,33,50,33
2167,United States,NAMR,Software,TMT,17,33,17,66,0,66,66,66,100
3284,Canada,NAMR,Global Asset Managers,Financial Institutions,66,100,66,100,66,66,100,100,100
682,Canada,NAMR,Renewables,Energy,33,66,66,0,33,33,0,33,0
4615,United States,NAMR,Insurance,Insurance,17,33,17,17,17,17,17,17,17
192,United Kingdom,EMESA,Telecommunications,TMT,83,66,66,83,50,66,50,50,83
1909,Bulgaria,EMESA,Global Asset Managers,Financial Institutions,66,50,50,50,50,50,17,66,17
1940,United Kingdom,EMESA,Insurance,Insurance,0,33,33,33,66,100,33,66,66
1956,United Kingdom,EMESA,Fashion & Luxury,Consumer,0,0,0,17,33,0,0,33,0
1408,United States,NAMR,Media,TMT,83,66,66,83,50,50,66,66,66
4958,United States,NAMR,Logistics & Postal Services,TCI,83,66,8,66,33,66,50,66,100
666,United States,NAMR,Media,TMT,66,66,50,83,50,33,17,50,83
2768,United States,NAMR,Software,TMT,66,100,66,66,66,66,100,66,66
1890,Spain,EMESA,Banking,Financial Institutions,100,66,33,66,66,66,33,66,100
3478,United States,NAMR,Fashion & Luxury,Consumer,100,50,66,66,17,50,33,50,100
4956,United States,NAMR,Medtech,Healthcare,8,33,8,66,8,33,8,33,8
5415,United States,NAMR,Insurance,Insurance,66,66,50,66,66,66,33,66,33
3514,Canada,NAMR,Fashion & Luxury,Consumer,0,0,8,33,0,0,0,8,0
P112,Canada,NAMR,Public Sector,Public Sector,17,17,17,33,17,17,17,17,0
160,India,APAC,Banking,Financial Institutions,66,83,66,83,100,66,66,33,66
5896,Belgium,EMESA,Global Asset Managers,Financial Institutions,66,66,66,33,50,66,66,66,66
235,United Kingdom,EMESA,Software,TMT,66,100,100,83,83,83,83,100,66
566,United States,NAMR,Global Asset Managers,Financial Institutions,66,83,50,33,0,33,50,50,66
5075,United States,NAMR,Medtech,Healthcare,66,100,33,66,33,66,0,33,66
846,United States,NAMR,Metals & Mining,Industrial Goods,33,33,33,66,66,33,33,33,66
790,Denmark,EMESA,Consumer Products,Consumer,66,33,66,33,33,33,33,33,8
3778,United States,NAMR,Rail & Hospitality,TCI,50,33,33,50,50,33,66,66,33
2284,France,EMESA,Retail,Consumer,33,0,17,50,0,17,17,17,0
2561,France,EMESA,Fashion & Luxury,Consumer,33,0,33,17,17,17,33,33,33
6718,Taiwan,APAC,Banking,Financial Institutions,17,66,33,50,50,50,50,33,33
4021,Hong Kong,APAC,Airline,TCI,50,66,17,66,66,33,33,50,33
309,United States,NAMR,Retail,Consumer,50,50,50,66,50,50,33,50,33
2091,United States,NAMR,"Construction, Cities and Infrastructure Development",TCI,17,0,0,33,17,0,17,100,0
1665,United States,NAMR,Media,TMT,33,66,33,33,33,33,8,8,8
454,Italy,EMESA,Banking,Financial Institutions,0,0,33,33,0,8,33,0,0
2149,Philippines,APAC,Airline,TCI,66,33,50,83,33,17,50,66,66
2831,United States,NAMR,"Providers, Systems & Services",Healthcare,50,66,50,17,33,33,8,33,100
2137,Mexico,NAMR,"Construction, Cities and Infrastructure Development",TCI,66,33,33,66,33,33,66,33,33
1251,United States,NAMR,Biopharma,Healthcare,33,33,50,33,17,33,50,33,66
2080,United States,NAMR,Insurance,Insurance,33,33,33,33,33,33,33,33,33
P339,United States,NAMR,Public Sector,Public Sector,83,50,50,100,33,83,66,50,50
2369,Thailand,APAC,Retail,Consumer,83,100,83,66,66,83,33,83,66
144,Thailand,APAC,Retail,Consumer,0,50,33,17,17,17,33,0,0
1419,India,APAC,"Construction, Cities and Infrastructure Development",TCI,66,33,17,33,17,66,0,66,0
5413,United States,NAMR,Medtech,Healthcare,100,100,66,100,66,66,100,100,66
193,France,EMESA,Logistics & Postal Services,TCI,33,66,66,66,33,33,50,50,83
676,Czech Republic,EMESA,Power and Utilities,Energy,100,66,0,33,33,33,33,100,0
763,United States,NAMR,Software,TMT,50,50,66,50,50,33,50,50,50
221,France,EMESA,Fashion & Luxury,Consumer,33,66,66,66,17,33,50,33,33
3472,United States,NAMR,Global Asset Managers,Financial Institutions,33,33,33,33,0,0,0,33,0
2383,United States,NAMR,Global Asset Managers,Financial Institutions,66,33,50,0,17,0,33,66,66
2059,Israel,EMESA,Software,TMT,50,66,66,50,66,33,50,33,83
2117,United Kingdom,EMESA,Payments & Fintech,Financial Institutions,83,66,8,66,50,83,50,83,66
3043,United States,NAMR,Oil & Gas,Energy,33,33,33,0,0,0,0,0,0
6358,China,APAC,Public Sector,Public Sector,83,83,100,83,83,100,83,83,66
P2020,China,APAC,Public Sector,Public Sector,66,33,66,66,33,33,33,33,66
4660,Japan,APAC,Oil & Gas,Energy,0,100,33,33,33,66,0,66,66
2163,India,APAC,Banking,Financial Institutions,50,66,66,33,66,66,50,50,66
3570,Hong Kong,APAC,Fashion & Luxury,Consumer,50,17,50,50,33,33,66,33,50
3672,Hong Kong,APAC,Fashion & Luxury,Consumer,50,17,33,33,33,33,33,50,17
1252,France,EMESA,Fashion & Luxury,Consumer,17,0,0,50,33,17,17,17,17
1644,France,EMESA,Fashion & Luxury,Consumer,50,0,33,33,33,0,0,17,66
807,Switzerland,EMESA,Insurance,Insurance,66,66,33,66,33,33,66,66,33
2396,United States,NAMR,Consumer Products,Consumer,33,66,66,33,66,33,66,66,66
4712,United States,NAMR,Insurance,Insurance,33,33,0,33,0,0,8,33,0
1220,Malaysia,APAC,Banking,Financial Institutions,33,50,33,33,17,33,33,50,50
267,India,APAC,Biopharma,Healthcare,33,33,66,66,0,33,33,66,33
433,United States,NAMR,Payments & Fintech,Financial Institutions,100,66,66,100,66,100,100,50,66
2802,United States,NAMR,Banking,Financial Institutions,0,100,100,100,100,83,100,83,100
P411,United States,NAMR,Public Sector,Public Sector,50,50,0,50,17,50,0,33,33
3980,South Korea,APAC,Consumer Products,Consumer,33,17,0,17,0,33,0,33,17
2475,Switzerland,EMESA,Chemicals,Industrial Goods,66,66,66,66,50,50,33,33,33
4612,United States,NAMR,Metals & Mining,Industrial Goods,50,33,33,33,50,50,17,33,33
4220,Hong Kong,APAC,Power and Utilities,Energy,100,66,83,50,66,33,83,100,66
4288,France,EMESA,Logistics & Postal Services,TCI,100,100,83,100,66,33,66,100,66
2794,Netherlands,EMESA,Machinery & Automation incl. Greentech,Industrial Goods,100,66,66,66,50,33,66,66,66
493,France,EMESA,Insurance,Insurance,83,83,50,66,50,66,33,33,50
1738,Australia,APAC,Medtech,Healthcare,66,33,0,66,0,33,33,100,66
1281,United States,NAMR,Consumer Products,Consumer,100,66,100,50,100,100,33,100,66
1650,Denmark,EMESA,Medtech,Healthcare,66,50,50,50,50,33,33,50,66
5369,United Kingdom,EMESA,Global Asset Managers,Financial Institutions,100,66,66,100,0,100,0,33,66
3537,United States,NAMR,Telecommunications,TMT,100,0,66,33,0,66,0,8,33
3202,United States,NAMR,"Providers, Systems & Services",Healthcare,50,0,33,66,50,33,50,33,0
1455,Switzerland,EMESA,Fashion & Luxury,Consumer,66,17,33,33,17,33,33,66,33
4665,France,EMESA,Automotive & Mobility,Industrial Goods,83,66,83,66,50,50,66,50,50
4670,Taiwan,APAC,"Devices, Components, and Semiconductors",TMT,50,50,50,50,50,50,50,33,17
2397,United States,NAMR,Consumer Products,Consumer,50,66,66,66,50,33,50,33,66
2451,Germany,EMESA,Automotive & Mobility,Industrial Goods,33,66,66,33,66,33,66,66,66
1887,United Kingdom,EMESA,Medtech,Healthcare,33,33,0,33,0,50,0,50,33
3082,Denmark,EMESA,Retail,Consumer,66,33,66,100,66,66,66,33,100
937,Spain,EMESA,Logistics & Postal Services,TCI,0,0,0,33,0,17,0,0,66
3979,United States,NAMR,Oil & Gas,Energy,33,0,33,33,33,33,33,33,0
2746,United States,NAMR,Fashion & Luxury,Consumer,50,50,66,33,17,17,50,66,66
3154,United States,NAMR,Media,TMT,8,33,17,33,17,0,8,17,50
2654,Germany,EMESA,Chemicals,Industrial Goods,17,0,0,33,17,0,17,0,0
2092,United States,NAMR,Automotive & Mobility,Industrial Goods,66,33,83,50,33,66,66,50,33
1760,United States,NAMR,Software,TMT,33,33,66,33,33,33,33,33,17
1132,Peru,EMESA,Banking,Financial Institutions,66,66,66,83,66,66,66,66,100
1226,France,EMESA,Banking,Financial Institutions,33,66,0,33,33,0,0,66,0
5214,Switzerland,EMESA,Global Asset Managers,Financial Institutions,66,66,0,66,66,66,66,66,66
4548,Ireland,EMESA,Metals & Mining,Industrial Goods,0,0,17,33,0,0,17,0,0
1769,United States,NAMR,Fashion & Luxury,Consumer,50,66,50,50,17,50,50,50,66
1631,India,APAC,Consumer Products,Consumer,66,50,66,66,83,66,66,66,33
2140,United States,NAMR,Software,TMT,66,100,100,50,66,8,100,50,83
4673,United States,NAMR,Logistics & Postal Services,TCI,66,17,33,33,33,50,33,17,33
5037,Hong Kong,APAC,Fashion & Luxury,Consumer,33,33,33,33,33,33,33,33,33
P415,Australia,APAC,Public Sector,Public Sector,33,33,100,50,66,33,33,33,33
2156,Australia,APAC,Biopharma,Healthcare,17,50,17,17,17,17,33,33,17
2447,United States,NAMR,Machinery & Automation incl. Greentech,Industrial Goods,33,17,33,17,33,33,17,33,17
2638,United States,NAMR,Aerospace & Defense,Industrial Goods,33,0,33,0,17,0,17,17,0
1030,United States,NAMR,Real Estate,TCI,66,50,50,50,33,66,33,50,66
218,India,APAC,Software,TMT,66,66,50,50,50,33,33,33,33
198,India,APAC,Consumer Products,Consumer,50,33,33,33,0,50,17,33,17
5902,Germany,EMESA,Logistics & Postal Services,TCI,66,0,66,100,0,66,0,33,0
1715,Japan,APAC,Biopharma,Healthcare,66,66,66,66,33,66,66,33,66
4716,Germany,EMESA,Automotive & Mobility,Industrial Goods,33,17,33,33,33,17,66,17,17
1313,United Arab Emirates,EMESA,Insurance,Insurance,66,33,33,33,0,50,33,33,0
3636,Denmark,EMESA,Software,TMT,83,66,66,66,66,50,100,50,50
2883,United States,NAMR,Medtech,Healthcare,66,33,33,66,66,66,66,33,66
4031,France,EMESA,Consumer Products,Consumer,33,0,66,33,33,0,0,33,50
1011,Denmark,EMESA,Banking,Financial Institutions,66,66,100,100,83,66,66,100,100
1449,France,EMESA,Software,TMT,100,50,83,66,33,66,66,83,83
